capacity_multiplier,w_gossip,w_rel,program_variant,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,27,5,0.47222222222222227,-0.004438660567757324,0.875,0.03430426954732509,143,1600
0.7,0.0,1.0,28,1,0.40972222222222215,0.00029320161673240363,0.875,0.03401491769547325,183,1600
0.7,0.0,1.0,28,2,0.42013888888888884,-0.0008158758661011234,0.925,0.028485082304526746,172,1600
0.7,0.0,1.0,28,3,0.4826388888888889,0.0003906940637534717,0.8,0.05709876543209876,167,1600
0.7,0.0,1.0,28,4,0.44097222222222215,0.0006556591597473016,0.9,0.035493827160493825,149,1600
0.7,0.0,1.0,28,5,0.4791666666666667,-0.0043574078640813245,0.875,0.03613683127572016,143,1600
0.7,0.0,1.0,29,1,0.40972222222222215,-0.000761617110692896,0.9,0.032857510288065835,183,1600
0.7,0.0,1.0,29,2,0.4131944444444445,-0.000637508244253695,0.9,0.028002829218106998,172,1600
0.7,0.0,1.0,29,3,0.49652777777777773,-0.00012859788337664214,0.8,0.058063271604938266,167,1600
0.7,0.0,1.0,29,4,0.4270833333333333,-0.00022739509739039932,0.9,0.03317901234567901,149,1600
0.7,0.0,1.0,29,5,0.4756944444444445,-0.0052301439870643665,0.875,0.036426183127572016,143,1600
0.7,0.0,1.0,30,1,0.40972222222222215,0.000995398404484149,0.875,0.033725565843621394,183,1600
0.7,0.0,1.0,30,2,0.40972222222222215,-0.0007647868743515573,0.9,0.027809927983539096,172,1600
0.7,0.0,1.0,30,3,0.4895833333333333,0.0004902187304833206,0.8,0.05758101851851851,167,1600
0.7,0.0,1.0,30,4,0.43402777777777773,-0.00022942691495700274,0.9,0.033950617283950615,149,1600
0.7,0.0,1.0,30,5,0.47222222222222227,-0.0045158848237042545,0.9,0.03517232510288066,143,1600
0.7,0.0,1.0,31,1,0.4131944444444444,0.0004288484560674988,0.875,0.0346900720164609,183,1600
0.7,0.0,1.0,31,2,0.4131944444444445,-0.0008443766960408538,0.9,0.028099279835390945,172,1600
0.7,0.0,1.0,31,3,0.4895833333333333,0.0011021282606088788,0.8,0.05758101851851851,167,1600
0.7,0.0,1.0,31,4,0.43402777777777773,-0.0003364337314997101,0.9,0.033757716049382706,149,1600
0.7,0.0,1.0,31,5,0.47222222222222227,-0.003915556982174166,0.875,0.03575102880658436,143,1600
0.7,0.0,1.0,32,1,0.4166666666666666,-0.00010804053745232523,0.875,0.0358474794238683,183,1600
0.7,0.0,1.0,32,2,0.4166666666666667,-0.0002648051019059494,0.9,0.02867798353909465,172,1600
0.7,0.0,1.0,32,3,0.4756944444444444,0.0008445452052546898,0.825,0.05227623456790124,167,1600
0.7,0.0,1.0,32,4,0.44097222222222227,-0.00024787323032796847,0.9,0.034529320987654315,149,1600
0.7,0.0,1.0,32,5,0.4791666666666667,-0.004002114388349583,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,33,1,0.4131944444444444,-0.0005958864945569076,0.875,0.0346900720164609,183,1600
0.7,0.0,1.0,33,2,0.4166666666666667,-0.0011753285158192738,0.925,0.028292181069958847,172,1600
0.7,0.0,1.0,33,3,0.47222222222222227,0.00019599398139689584,0.825,0.05121527777777778,167,1600
0.7,0.0,1.0,33,4,0.4444444444444444,2.9713193580391817e-05,0.9,0.03501157407407408,149,1600
0.7,0.0,1.0,33,5,0.4791666666666667,-0.003770358310212032,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,34,1,0.40277777777777773,7.226026529679075e-05,0.875,0.03198945473251028,183,1600
0.7,0.0,1.0,34,2,0.42013888888888884,-0.0003649419132852927,0.9,0.028967335390946505,172,1600
0.7,0.0,1.0,34,3,0.46875,0.0010607432673714356,0.825,0.050443672839506175,167,1600
0.7,0.0,1.0,34,4,0.44097222222222227,0.0007664563296566484,0.9,0.03462577160493827,149,1600
0.7,0.0,1.0,34,5,0.4826388888888889,-0.004482977495426894,0.875,0.03835519547325102,143,1600
0.7,0.0,1.0,35,1,0.40624999999999994,0.0004454958724090829,0.875,0.0341113683127572,183,1600
0.7,0.0,1.0,35,2,0.40277777777777785,-0.000732549509848468,0.9,0.024048353909465015,172,1600
0.7,0.0,1.0,35,3,0.4826388888888889,0.0009223298970755423,0.825,0.05671296296296296,167,1600
0.7,0.0,1.0,35,4,0.4270833333333333,-0.00011346081133524422,0.925,0.03173225308641975,149,1600
0.7,0.0,1.0,35,5,0.4756944444444444,-0.0028340534750168444,0.875,0.036329732510288065,143,1600
0.7,0.0,1.0,36,1,0.40277777777777773,0.0010183314135065302,0.875,0.033918467078189296,183,1600
0.7,0.0,1.0,36,2,0.40972222222222215,-0.00042143194848904387,0.9,0.024627057613168718,172,1600
0.7,0.0,1.0,36,3,0.4895833333333333,0.0005064939679141389,0.8,0.05844907407407406,167,1600
0.7,0.0,1.0,36,4,0.4270833333333333,-4.682239210524131e-05,0.925,0.03173225308641975,149,1600
0.7,0.0,1.0,36,5,0.4791666666666667,-0.0020283823330100857,0.875,0.03768004115226337,143,1600
0.7,0.0,1.0,37,1,0.40624999999999994,-0.0002657612197799608,0.875,0.03401491769547325,183,1600
0.7,0.0,1.0,37,2,0.40972222222222215,-0.000507239858561661,0.9,0.025398662551440326,172,1600
0.7,0.0,1.0,37,3,0.4861111111111111,0.0003957253910630243,0.8,0.05748456790123455,167,1600
0.7,0.0,1.0,37,4,0.4305555555555556,-0.0005950690975441831,0.925,0.032889660493827154,149,1600
0.7,0.0,1.0,37,5,0.47222222222222227,-0.0034244286435568937,0.875,0.03594393004115227,143,1600
0.7,0.0,1.0,38,1,0.40624999999999994,0.00029756709314824546,0.875,0.033822016460905345,183,1600
0.7,0.0,1.0,38,2,0.4166666666666667,-0.001119237900711596,0.9,0.02867798353909465,172,1600
0.7,0.0,1.0,38,3,0.4861111111111111,-0.0003567456307064276,0.8,0.05690586419753085,167,1600
