lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,capacity_aware,1,13000039,13000056,1,True,False,moderate,ok,0.0,0.8263372485732143,0.0,0.06893247216971225,51,480,9,0.12678285,480,701.877260085952,0.0,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,llm_ranker,1,13000039,13000056,1,True,False,moderate,ok,0.020594965675057208,0.8266906234251189,0.13157894736842105,0.18509766855702584,46,480,2,0.1269425,480,705.9899655776098,0.0040102877537719905,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,no_policy,1,18000054,18000071,1,True,False,moderate,ok,0.07518796992481203,0.8261993993073702,0.2894736842105263,0.24355442176870748,96,960,6,0.2411171,960,1393.4172765503172,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,cosine,1,18000054,18000071,1,True,False,moderate,ok,0.03082706766917293,0.8278761115471056,0.18421052631578946,0.13918745275888134,107,960,11,0.25417295,960,1410.1028899779776,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,capacity_aware,1,18000054,18000071,1,True,False,moderate,ok,0.01278195488721804,0.8261752807832782,0.10526315789473684,0.09766439909297049,93,960,12,0.2541668,960,1491.9671810403815,0.0,0,0,0.0
18,1.0402672607980472,cosine_only,0.1382726779050717,0.6548914046334603,0.206835917461468,60,5,llm_ranker,1,18000054,18000071,1,True,False,moderate,ok,0.07819548872180451,0.8263588821547372,0.2631578947368421,0.24999433106575963,85,960,3,0.25439915,960,1435.2481279626954,0.007489761512260884,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,no_policy,1,23000069,23000086,1,True,False,strong,ok,0.0,0.8251416795814093,0.0,0.03277112961035957,46,480,2,0.1201442,480,742.5831085239188,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,cosine,1,23000069,23000086,1,True,False,strong,ok,0.0,0.8286858754115062,0.0,0.020958588661502287,36,480,1,0.12730355000000002,480,720.9703785090824,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,capacity_aware,1,23000069,23000086,1,True,False,strong,ok,0.0,0.8271645977588593,0.0,0.013879253863645122,37,480,0,0.12766855,480,716.2597202348989,0.0,0,0,0.0
23,1.8126259973339311,mixed,0.10320183406770134,0.28172711461357725,0.6150710513187214,30,2,llm_ranker,1,23000069,23000086,1,True,False,strong,ok,0.0,0.8264195695519447,0.0,0.03561346205727058,40,480,1,0.1262218,480,701.9489561744849,0.0038060277001932263,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,no_policy,1,27000081,27000098,1,True,False,strong,ok,0.08173076923076923,0.8252558089652151,0.2564102564102564,0.29366726345486105,222,1600,3,0.39842925,1600,2383.3967539819423,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,cosine,1,27000081,27000098,1,True,False,strong,ok,0.022035256410256412,0.8279831420716245,0.10256410256410256,0.13384105541087962,171,1600,3,0.42283795,1600,2400.990018095239,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,capacity_aware,1,27000081,27000098,1,True,False,strong,ok,0.026041666666666668,0.8262995306809857,0.10256410256410256,0.12352611400462964,201,1600,28,0.42356535,1600,2440.742770357465,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,llm_ranker,1,27000081,27000098,1,True,False,strong,ok,0.07572115384615384,0.8258678647974219,0.20512820512820512,0.2698844627097801,177,1600,3,0.4230824,1600,2376.36526753247,0.01314285135595128,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,no_policy,1,31000093,31000110,1,True,False,moderate,ok,0.0005698005698005678,0.826247869757448,0.02564102564102564,0.11980795610425239,167,1600,9,0.40376480000000003,1600,2466.9935156864813,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,cosine,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.8281834589242145,0.0,0.0715809327846365,91,1600,2,0.42614775,1600,2490.4496331007103,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,capacity_aware,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.8267016687634303,0.0,0.05215163465935071,97,1600,18,0.42704785,1600,2486.2800858351984,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,llm_ranker,1,31000093,31000110,1,True,False,moderate,ok,0.0028490028490028504,0.8264085197765566,0.05128205128205128,0.1189028920896205,95,1600,4,0.42632180000000003,1600,2443.000191930216,0.012752249895129353,0,0,0.0
34,1.7216846473452412,mixed,0.9307455724924303,0.02186066440236677,0.04739376310520291,60,1,no_policy,1,34000102,34000119,1,True,False,moderate,ok,0.0,0.8256216421548058,0.0,0.08967197591156224,110,960,12,0.24117335,960,1459.5655527787749,0.0,0,0,0.0
