capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,11,5,10,1,0.40277777777777773,-0.0004397587745916098,0.9,0.032278806584362135,183,1600
0.7,0.0,1.0,11,5,10,2,0.4444444444444444,0.0005068184588162694,0.85,0.03591177983539095,172,1600
0.7,0.0,1.0,11,5,10,3,0.4756944444444445,0.002895969945602701,0.85,0.04957561728395061,167,1600
0.7,0.0,1.0,11,5,10,4,0.4305555555555555,0.0038433804267697267,0.875,0.036651234567901224,149,1600
0.7,0.0,1.0,11,5,10,5,0.4861111111111111,-0.0013905751049605897,0.85,0.03796939300411522,143,1600
0.7,0.0,1.0,12,6,11,1,0.40384615384615385,0.00011067499435739592,0.875,0.025318502044692513,183,1600
0.7,0.0,1.0,12,6,11,2,0.43589743589743585,0.00035561914432037157,0.875,0.026954452899393376,172,1600
0.7,0.0,1.0,12,6,11,3,0.4935897435897436,0.0008090380489738891,0.8,0.04926900122584646,167,1600
0.7,0.0,1.0,12,6,11,4,0.4326923076923077,0.0009289404507580912,0.875,0.030000172611779747,149,1600
0.7,0.0,1.0,12,6,11,5,0.49038461538461536,0.003915035826139501,0.825,0.036747900192840674,143,1600
0.7,0.0,1.0,13,8,16,1,0.40277777777777785,0.00272926982404897,0.9,0.0341113683127572,183,1600
0.7,0.0,1.0,13,8,16,2,0.4236111111111111,0.00026598822165396996,0.9,0.028581532921810694,172,1600
0.7,0.0,1.0,13,8,16,3,0.47222222222222227,-0.0008172557719080942,0.875,0.047839506172839504,167,1600
0.7,0.0,1.0,13,8,16,4,0.4548611111111111,-0.00021151835513592233,0.9,0.03829089506172839,149,1600
0.7,0.0,1.0,13,8,16,5,0.46875,-0.00041969045028963594,0.925,0.032568158436213995,143,1600
0.7,0.0,1.0,14,8,14,1,0.42307692307692313,0.0006013854916091077,0.85,0.029091205036145516,183,1600
0.7,0.0,1.0,14,8,14,2,0.44551282051282054,0.0006357497140561464,0.825,0.030914357908405524,172,1600
0.7,0.0,1.0,14,8,14,3,0.49038461538461536,-0.0006175375278689899,0.75,0.048951319844176985,167,1600
0.7,0.0,1.0,14,8,14,4,0.43589743589743585,0.0024948370186029935,0.9,0.027399125070256016,149,1600
0.7,0.0,1.0,14,8,14,5,0.4711538461538462,0.0006193557044025511,0.825,0.031144086017597924,143,1600
0.7,0.0,1.0,15,8,14,1,0.40625,-0.0014910098258405925,0.875,0.03536522633744855,183,1600
0.7,0.0,1.0,15,8,14,2,0.44444444444444436,-0.0014403530984418466,0.875,0.03600823045267489,172,1600
0.7,0.0,1.0,15,8,14,3,0.49652777777777785,0.001959884325042367,0.8,0.056520061728395056,167,1600
0.7,0.0,1.0,15,8,14,4,0.4201388888888889,-0.0015367402268748264,0.9,0.028163580246913584,149,1600
0.7,0.0,1.0,15,8,14,5,0.5,-0.004351867764125927,0.875,0.03970550411522633,143,1600
0.7,0.0,1.0,16,7,14,1,0.3923611111111111,0.000616697822115384,0.875,0.02436985596707818,183,1600
0.7,0.0,1.0,16,7,14,2,0.423611111111111,-0.004428324351029005,0.9,0.03234310699588477,172,1600
0.7,0.0,1.0,16,7,14,3,0.5034722222222222,-0.0009163404309219913,0.8,0.05902777777777778,167,1600
0.7,0.0,1.0,16,7,14,4,0.454861111111111,-0.001412565009741229,0.925,0.034818672839506175,149,1600
0.7,0.0,1.0,16,7,14,5,0.4895833333333333,-0.0038962881036422913,0.875,0.03912680041152264,143,1600
0.7,0.0,1.0,17,4,8,1,0.3958333333333333,-0.0011788050518953242,0.875,0.028903034979423866,183,1600
0.7,0.0,1.0,17,4,8,2,0.43402777777777785,-0.0015535823961545247,0.85,0.035043724279835396,172,1600
0.7,0.0,1.0,17,4,8,3,0.5104166666666666,-0.003272851993315271,0.8,0.06442901234567901,167,1600
0.7,0.0,1.0,17,4,8,4,0.4305555555555555,-0.000518247765066917,0.875,0.032214506172839504,149,1600
0.7,0.0,1.0,17,4,8,5,0.5000000000000001,-0.0022487643259955802,0.9,0.0421167695473251,143,1600
0.7,0.0,1.0,18,5,10,1,0.3923611111111111,-0.0005032927369029494,0.9,0.02977109053497942,183,1600
0.7,0.0,1.0,18,5,10,2,0.4305555555555555,-0.002201664910899126,0.875,0.03272890946502058,172,1600
0.7,0.0,1.0,18,5,10,3,0.48611111111111116,-0.0006825628427031916,0.775,0.05748456790123457,167,1600
0.7,0.0,1.0,18,5,10,4,0.4479166666666666,-0.00032959820280666465,0.9,0.036940586419753084,149,1600
0.7,0.0,1.0,18,5,10,5,0.4861111111111111,-0.0030295185720024165,0.875,0.03700488683127571,143,1600
0.7,0.0,1.0,19,3,6,1,0.3854166666666666,0.0007978139241458848,0.875,0.030542695473251027,183,1600
0.7,0.0,1.0,19,3,6,2,0.40972222222222215,-0.00019425957434577868,0.925,0.02694187242798354,172,1600
0.7,0.0,1.0,19,3,6,3,0.4895833333333333,0.0002687674048502231,0.8,0.059413580246913573,167,1600
0.7,0.0,1.0,19,3,6,4,0.43402777777777773,0.00019040138424315954,0.925,0.03423996913580247,149,1600
0.7,0.0,1.0,19,3,6,5,0.4791666666666667,-0.002558386293021613,0.875,0.03681198559670782,143,1600
0.7,0.0,1.0,20,6,12,1,0.39583333333333326,-0.0049807552240235965,0.9,0.030832047325102873,183,1600
0.7,0.0,1.0,20,6,12,2,0.3958333333333333,-0.0015720229544240283,0.9,0.025591563786008232,172,1600
0.7,0.0,1.0,20,6,12,3,0.49652777777777785,-0.0009332449738576543,0.75,0.05951003086419753,167,1600
0.7,0.0,1.0,20,6,12,4,0.4375,-0.00012087780400179327,0.9,0.03722993827160494,149,1600
0.7,0.0,1.0,20,6,12,5,0.46875,-0.0022926723107957515,0.875,0.03546167695473251,143,1600
0.7,0.0,1.0,21,8,16,1,0.4131944444444444,-0.0030509010567038785,0.875,0.03739068930041153,183,1600
0.7,0.0,1.0,21,8,16,2,0.4444444444444444,7.521121144236531e-05,0.9,0.033018261316872424,172,1600
0.7,0.0,1.0,21,8,16,3,0.517361111111111,0.003187557565397583,0.8,0.07320601851851852,167,1600
0.7,0.0,1.0,21,8,16,4,0.41666666666666674,0.004152881895715836,0.95,0.02536651234567902,149,1600
