lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,no_policy,1,27000081,27000098,1,True,False,strong,ok,0.027644230769230768,0.02439508586218819,0.1282051282051282,0.14253969545717593,311,1600,8,0.3500758,1600,1882.6243961480213,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,cosine,1,27000081,27000098,1,True,False,strong,ok,0.005608974358974359,0.041144298599409025,0.02564102564102564,0.06626835575810185,161,1600,3,0.37616725,1600,1936.596272024908,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,capacity_aware,1,27000081,27000098,1,True,False,strong,ok,0.0,0.03707250621191104,0.0,0.047069973415798605,157,1600,5,0.37708620000000004,1600,1879.035278296913,0.0,0,0,0.0
27,1.8856533686956491,fame_only,0.3253711979857721,0.10565340283770082,0.5689753991765271,100,1,llm_ranker,1,27000081,27000098,1,True,False,strong,ok,0.06049679487179487,0.016857611052982186,0.23076923076923078,0.23523175274884253,124,1600,0,0.37769775,1600,1883.0134393482003,0.005824875202961266,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,no_policy,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.031080773550105353,0.0,0.05248085276634659,319,1600,7,0.35079335,1600,1876.671013707295,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,cosine,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.039628518338402384,0.0,0.024002057613168728,126,1600,4,0.3791608,1600,1833.7584637699183,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,capacity_aware,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.036601555776337856,0.0,0.014897405121170553,127,1600,8,0.37857475,1600,1862.5823973030783,0.0,0,0,0.0
31,2.6586417810778986,mixed,0.3420518208454852,0.5959476662794291,0.06200051287508574,100,5,llm_ranker,1,31000093,31000110,1,True,False,moderate,ok,0.0,0.020438248787411333,0.0,0.0668932898948331,109,1600,2,0.37921095,1600,1851.3072461721022,0.005882669356651604,0,0,0.0
34,1.7216846473452412,mixed,0.9307455724924303,0.02186066440236677,0.04739376310520291,60,1,no_policy,1,34000102,34000119,1,True,False,moderate,ok,0.0,0.028949605385688217,0.0,0.03961252620043197,201,960,9,0.2098399,960,1136.7503786355956,0.0,0,0,0.0
34,1.7216846473452412,mixed,0.9307455724924303,0.02186066440236677,0.04739376310520291,60,1,cosine,1,34000102,34000119,1,True,False,moderate,ok,0.0,0.03895558206124874,0.0,0.02237343994382202,105,960,2,0.22706275,960,1164.8875881638378,0.0,0,0,0.0
34,1.7216846473452412,mixed,0.9307455724924303,0.02186066440236677,0.04739376310520291,60,1,capacity_aware,1,34000102,34000119,1,True,False,moderate,ok,0.0,0.04039814424652018,0.0,0.015717599242448425,105,960,0,0.22671655000000002,960,1165.8905095849186,0.0,0,0,0.0
34,1.7216846473452412,mixed,0.9307455724924303,0.02186066440236677,0.04739376310520291,60,1,llm_ranker,1,34000102,34000119,1,True,False,moderate,ok,0.0,0.023550200354045484,0.0,0.05552164129081682,94,960,0,0.2271294,960,1157.110635660356,0.0035103968111798167,0,0,0.0
36,0.6961006803825321,cosine_only,0.26883072418572385,0.0542201813845719,0.6769490944297043,60,5,no_policy,1,36000108,36000125,1,True,False,strong,ok,0.212719298245614,0.01944165942485703,0.3157894736842105,0.44780815972222215,179,960,5,0.2106173,960,1121.1806005326798,0.0,0,0,0.0
